#number,link,employer,employer_adress,salary_currency,salary_start,salary_finish,site_name,vacancy_title,vacancy_responsibility,vacancy_requirement
11,https://hh.ru/vacancy/36815679?query=Data%20science," МАГНИТ, Розничная сеть",Краснодар,,0,0,Хэдхантер,Senior data science,"Разработка статистических моделей/алгоритмов и их реализация на R, Python. Оптимизация инструментов и подходов к решению задач. Прогнозирование промо продаж...",Умение писать понятный и воспроизводимый код. Опыт работы с данными (на примере минимум 3х библиотек python). Опыт работы с...
12,https://hh.ru/vacancy/38260945?query=Data%20science, Синезис,"Минск, Площадь Победы и еще 1 ",,0,0,Хэдхантер,Аналитик данных / Data Analyst (data science gambling),"Взаимодействие с разработчиками и дизайнерами, написание спецификаций и разработка конфигураций слот-машин. Анализ данных (описательная, диагностическая и прогностическая аналитика). ","Полная ориентированность на данные (data-driven). Опыт/знания в области построения предиктивных моделей (DS/ML). Понимание принципов мобильной атрибуции, опыт..."
13,https://hh.ru/vacancy/37526064?query=Data%20science,"ООО МОТИВ, телекоммуникационная группа","Екатеринбург, Динамо",,0,0,Хэдхантер,Специалист по Data Science,"Анализом отклонений в базах данных. Поиском зон роста на основе данных о трафике абонентов, выдвижением и проверкой гипотезы. ","Высшее образование (техническое или математическое). Навыки работы с Big Data. Желательны знания Python, R, Oracle SQL. Навык работы с IBM..."
14,https://hh.ru/vacancy/36815680?query=Data%20science," МАГНИТ, Розничная сеть",Москва,,0,0,Хэдхантер,Senior data science,"Разработка статистических моделей/алгоритмов и их реализация на R, Python. Оптимизация инструментов и подходов к решению задач. Прогнозирование промо продаж...",Умение писать понятный и воспроизводимый код. Опыт работы с данными (на примере минимум 3х библиотек python). Опыт работы с...
15,https://hh.ru/vacancy/37513382?query=Data%20science, Университет Иннополис,Казань,Рублей,180000,300000,Хэдхантер,Team lead Data Science,"Распознавание объектов по данным аэрофото- и космосъемки (мониторинг лесоизменений, свалок, хода строительства). Обнаружение дефектов лопаток турбин авиационных двигателей, распознавание медицинских...","Опыт работы в computer vision: предобработка (фильтрация) изображений, нормализация, машинное обучение, глубокое обучение. Знание алгоритмов и структур данных. "
16,https://hh.ru/vacancy/37513383?query=Data%20science, Университет Иннополис,Санкт-Петербург,Рублей,180000,300000,Хэдхантер,Team lead Data Science,"Распознавание объектов по данным аэрофото- и космосъемки (мониторинг лесоизменений, свалок, хода строительства). Обнаружение дефектов лопаток турбин авиационных двигателей, распознавание медицинских...","Опыт работы в computer vision: предобработка (фильтрация) изображений, нормализация, машинное обучение, глубокое обучение. Знание алгоритмов и структур данных. "
17,https://hh.ru/vacancy/37540460?query=Data%20science, Университет Иннополис,Самара,Рублей,180000,300000,Хэдхантер,Team lead Data Science,"Распознавание объектов по данным аэрофото- и космосъемки (мониторинг лесоизменений, свалок, хода строительства). Обнаружение дефектов лопаток турбин авиационных двигателей, распознавание медицинских...","Опыт работы в computer vision: предобработка (фильтрация) изображений, нормализация, машинное обучение, глубокое обучение. Знание алгоритмов и структур данных. "
18,https://hh.ru/vacancy/38596730?query=Data%20science, Сбербанк для экспертов,Москва,,0,0,Хэдхантер,Data science в Массовую персонализацию,"Разработка скоринговых моделей (propensity score) по премиальным сегментам, продуктам и сервисам банка, экосистемы. Разработка моделей для внешних заказчиков. ",Знания алгоритмов Machine Learning. Знание продуктов и умение программировать на SAS или Python. Знание SQL.
19,https://hh.ru/vacancy/38175082?query=Data%20science," «РОСБАНК, Societe Generale Group», с опытом работы",Москва,,0,0,Хэдхантер,Technical Lead в Data Science-команду/ML Engineer,Управление работой командой Data Engineer-ов. Формирование культуры написания продакшн кода в команде. Подготовка данных для работы Data Scientist-ов...,"Опыт применения различных технологий хранения и обработки данных, SQL/noSQL,OLTP/OLAPin-Memory. Уверенное владение SQL, опыт оптимизации запросов, проектирования..."
20,https://hh.ru/vacancy/37513384?query=Data%20science, Университет Иннополис,Иннополис,Рублей,180000,300000,Хэдхантер,Team lead Data Science,"Распознавание объектов по данным аэрофото- и космосъемки (мониторинг лесоизменений, свалок, хода строительства). Обнаружение дефектов лопаток турбин авиационных двигателей, распознавание медицинских...","Опыт работы в computer vision: предобработка (фильтрация) изображений, нормализация, машинное обучение, глубокое обучение. Знание алгоритмов и структур данных. "
21,https://hh.ru/vacancy/38795381?query=Data%20science, Mail.ru Group,Москва,,0,0,Хэдхантер,Преподаватель курса по направлению Data Science,проверять домашние задания. - алгоритмы анализа данных.,"при желании, можно стать автором новых курсов. - нужно иметь тихое пространство, где семья/коллеги/пушистые друзья не будут отвлекать от..."
22,https://hh.ru/vacancy/35336500?query=Data%20science, JetBrains,Санкт-Петербург,Рублей,200000,0,Хэдхантер,Software Developer (PyCharm For Data Science),Вместе с распределенной командой у тебя будет возможность: Развивать PyCharm for Data Science как продукт и участвовать в обсуждении новой...,"Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java или C++ от 3-х лет. "
23,https://hh.ru/vacancy/35336501?query=Data%20science, JetBrains,"Москва, Белорусская",Рублей,200000,0,Хэдхантер,Software Developer (PyCharm For Data Science),Вместе с распределенной командой у тебя будет возможность: Развивать PyCharm for Data Science как продукт и участвовать в обсуждении новой...,"Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java или C++ от 3-х лет. "
24,https://hh.ru/vacancy/38812141?query=Data%20science, Skillbox,Москва,,0,0,Хэдхантер,Преподаватель Python для Data Science,"Подготовка материалов к съемкам видеоуроков (планы модулей, сценарии, презентации). Подготовка дополнительных материалов к модулям (наборы заданий, инструкции проверяющим преподавателям и...",Грамотная устная и письменная речь. Знания и опыт работы в Python. Знание базовых алгоритмов программирования (на уровне основных алгоритмов сортировки...
25,https://hh.ru/vacancy/36245249?query=Data%20science, GlowByte Consulting,"Москва, Курская",,0,0,Хэдхантер,Аналитик Data Science,"Проектирование и внедрение Data Science и Machine Learning платформ/решений (SAS, IBM, Oracle, Teradata, Cloudera). Разработка, тестирование и аудит прогнозных...","Высшее математическое или техническое образование. Знания статистики и теории вероятностей, знания методов статистического анализа данных. Опыт работы со специализированными инструментами..."
26,https://hh.ru/vacancy/38797957?query=Data%20science, SkillFactory,Москва,,0,0,Хэдхантер,Ментор группы на специализацию Data Science,Выходить на видеозвонки с группой (разбор проекта) два в 4-8 недель. Отвечать вопросы студентов в чате группы и в...,"Мотивировать своей историей и опытом, участвовать во внеурочных мероприятиях. Вы работаете в сфере Data Science или аналитики от двух лет. "
27,https://hh.ru/vacancy/38211522?query=Data%20science, БУРГЕР КИНГ РОССИЯ,Москва,,0,0,Хэдхантер,Digital Аналитик (Data Science),"Анализ цифровых инструментов и каналов. Аналитика поведения пользователей, Push аналитика, Тепловые карты, Анализ поведения, Анализ источников. АБ тестирование, статистическая значимость...","Сильные навыки в работе с большими объемами данных, в том числе неструктурированной информации. Высокие аналитические способности с навыками презентации полученных..."
28,https://hh.ru/vacancy/37540463?query=Data%20science, Университет Иннополис,Москва,Рублей,180000,300000,Хэдхантер,Team lead Data Science,"Распознавание объектов по данным аэрофото- и космосъемки (мониторинг лесоизменений, свалок, хода строительства). Обнаружение дефектов лопаток турбин авиационных двигателей, распознавание медицинских...","Опыт работы в computer vision: предобработка (фильтрация) изображений, нормализация, машинное обучение, глубокое обучение. Знание алгоритмов и структур данных. "
29,https://hh.ru/vacancy/38386451?query=Data%20science, Брокеркредитсервис,"Москва, Проспект Мира и еще 2 ",,0,0,Хэдхантер,Data Science аналитик,Обрабатывать большие массивы данных с использованием Big Data инструментов. Развивать DS-инфраструктуру подразделения. Ментерить Data Scientist по методическим вопросам и...,Опыт работы на релевантной должности от 1 года. Навык обработки больших массивов данных с использованием Big Data инструментов. 
30,https://hh.ru/vacancy/36154902?query=Data%20science,ООО САС Институт,Москва,,0,0,Хэдхантер,"Стажёр (по анализу данных, data science)",,"Быть студентом 3-5 курса бакалавриата/специалитета, магистратуры либо недавним выпускником технической специальности. Знать хотя бы один язык программирования, разбираться..."
31,https://hh.ru/vacancy/38709318?query=Data%20science, Сбербанк для экспертов,Москва,,0,0,Хэдхантер,Data Science,"В работе используем современные технологии для анализа данных (Python,machine learning) и работы с big data (MapReduce, Spark, Hive, Teradata). ","Наличие практического опыта работы с данными в качестве аналитика, разработчика, инженера по данным от 2 лет. Знание SQL. "
32,https://hh.ru/vacancy/38190948?query=Data%20science,ООО UMA.Tech,"Москва, Маяковская",,0,0,Хэдхантер,Руководитель отдела анализа данных и математического моделирования (Data Science),"Разработка и внедрение инновационных решений на основе машинного обучения, компьютерного зрения и прочих разделов науки о данных и искусственного интеллекта. ","Релевантный опыт от 4 лет. Математика, статистика, экспертиза в проверке гипотез и проведении экспериментов. Применение широкого спектра алгоритмов машинного обучения..."
33,https://hh.ru/vacancy/38711634?query=Data%20science," Программный Продукт, ИТ-компания",Москва,,0,0,Хэдхантер,Инженер-программист Python (data science),"Написание решений для работы с видеопотоком в реальном времени (поиск, детектирование объектов, их учет и классификация). Поиск оптимальных решений под...","Уверенное владение Python, умение разбираться в стандартных и сторонних библиотеках. Опыт работы в data science от 2 лет(нейронные сети..."
34,https://hh.ru/vacancy/38386620?query=Data%20science, Брокеркредитсервис,"Москва, Проспект Мира и еще 2 ",,0,0,Хэдхантер,Data science инженер,"Собирать данные из корпоративных систем Департамента, подготавливать данные, отбирать признаки, реализовывать модели и логики ограничений. Выявлять в данных инсайтов, строить...",Опыт работы на релевантной должности от 1 года. Навык работы с большим массивом данных с использованием Big Data инструментов. 
35,https://hh.ru/vacancy/38664924?query=Data%20science, ABCstaff,Москва,,0,0,Хэдхантер,Руководитель направления дата аналитики/data science,Развитие платформы обработки и анализа данных. ● Обучение людей работе с данными. ● Data Lake на базе Hadoop или Azure Data Lake. ● ,Наружной рекламы в ближайшие несколько лет. Диаграммы. ● Имеешь высшее техническое образование по специальностям «прикладная математика». ● Имеешь навыки и опыт построения...
36,https://hh.ru/vacancy/37993249?query=Data%20science, Университет Иннополис,Казань,,0,0,Хэдхантер,Бизнес-аналитик проектов в области Data science,"Сбор, анализ, формализация, документирование и согласование требований от Заказчика в проектах с использованием технологий искусственного интеллекта. Исследование технологических направлений ​и...","Образование высшее техническое. Опыт работы в качестве бизнес-аналитика не менее 2х лет. Аналитический склад ума, умение исследовать ​​​незнакомые..."
37,https://hh.ru/vacancy/36134515?query=Data%20science," Программный Продукт, ИТ-компания",Москва,,0,0,Хэдхантер,"Инженер-программист data science, computer vision (middle)","написание решений для работы с видеопотоком в реальном времени (поиск, детектирование объектов). - поиск оптимальных решений под конкретную задачу (датасеты, архитектуры...","уверенное владение языками Python и С++. - опыт работы в data science от 2 лет(нейронные сети, классификация, кластеризация). - "
38,https://hh.ru/vacancy/38683687?query=Data%20science," Softdesign, студия",Самара,,0,0,Хэдхантер,Спикер онлайн-курса по Data Science,"Создание обучающих материалов, обеспечение качества и актуальности обучающего контента. Поиск и сбор аудитории слушателей на обучение. Дополнительные оплачиваемые виды работ...","Ты эксперт по Data Science или практикующий спикер и можешь поделиться опытом, знаниями и навыками? Уровень владения предметом Middle+ / Senior..."
39,https://hh.ru/vacancy/37980653?query=Data%20science, НТА,"Санкт-Петербург, Ладожская",,0,0,Хэдхантер,Аналитик (data science),Для быстрого и качественного ответа проектировать и выстраивать модели на основе OLAP-кубов для BI и data science процессов (ML...,"Проектировали архитектуру данных, умеете решать архитектурные вопросы в области обработки данных. Пишете читаемый и поддерживаемый код на Python, знаете SQL..."
40,https://hh.ru/vacancy/38522290?query=Data%20science, Publicis Groupe,"Москва, Белорусская",,0,0,Хэдхантер,Data Science Project Manager,"Управление Data Science проектами, в частности: - управление командой (постановка задач, контроль за выполнением, контроль за ведением отчетности). Ведение коммуникации по...","Опыт в Project Management/Product Management. Опыт создания презентаций, защита перед клиентами. Аналитический бэкграунд (особенно DS-бэкграунд) будет плюсом. "
41,https://hh.ru/vacancy/38484884?query=Data%20science, Mail.ru Group,Санкт-Петербург,,0,0,Хэдхантер,Инженер-аналитик (data science),"Поиск потенциальных точек роста проекта и т.д. Поддержка полного цикла разработки data science решений. Организация сбора данных, эксплоративный анализ...","Готовность учиться. Способность предлагать новые идеи, упорство и доведение их до конца. Знакомство с математическим аппаратом (статистика и теория вероятности..."
42,https://hh.ru/vacancy/38020541?query=Data%20science, Сибур,Москва,,0,0,Хэдхантер,Эксперт по разработке образовательных программ по Data Science,Разработкой и внедрением стратегии развития hard компетенций сотрудников компании. Взаимодействием с Корпоративным университетом в рамках программ адаптации новых сотрудников и...,"Имеете опыт работы с образовательными программами по data science. Имеете общее понимание алгоритмов машинного обучения, статистического анализа. Имеете опыт построения..."
43,https://hh.ru/vacancy/38575590?query=Data%20science, Ozon Информационные технологии,Москва,,0,0,Хэдхантер,Data Science Team Lead (прогнозирование спроса),Вести все проекты группы. Выстраивать план долгосрочного развития. Писать код. Брать ответственность за результат деятельности команды. Общаться с заказчиками.,"Знание нашего стека Python, PySpark, Pytorch, Airflow, Git. Наличие фундаментальной математической базы, алгоритмы. Опыт ведения проектов и управления командой. "
44,https://hh.ru/vacancy/38484960?query=Data%20science, Mail.ru Group,"Москва, Аэропорт",,0,0,Хэдхантер,Инженер-аналитик (data science),"Поиск потенциальных точек роста проекта и т.д. Поддержка полного цикла разработки data science решений. Организация сбора данных, эксплоративный анализ...","Готовность учиться. Способность предлагать новые идеи, упорство и доведение их до конца. Знакомство с математическим аппаратом (статистика и теория вероятности..."
45,https://hh.ru/vacancy/36437887?query=Data%20science, Центр компьютерного обучения СПЕЦИАЛИСТ при МГТУ им. Н.Э.Баумана,"Москва, Бауманская",Рублей,150000,0,Хэдхантер,Преподаватель Python & Data Science и Machine Learning,"Проведение обучения по утвержденным программам. Разработка тематических планов и методических материалов. Развитие читаемого курса, поддержание его актуальности.","Знание, достаточное для преподавания курсов: Python 3.7. Jupiter Notebook. Библиотеки Pandas. Numpy. Matplotlib. Scikit-learn. Prediction models, PyTorch, TensorFlow..."
46,https://hh.ru/vacancy/37978575?query=Data%20science, Mail.ru Group,"Москва, Аэропорт",,0,0,Хэдхантер,Data engineer (Data Science platform),Разработка сервисов облегчающих работу data-science-специалистов. Решение различных задач связанных с производительностью и отказоустойчивостью big-data-инфраструктуры. ,Готовность к самостоятельному обучению и постоянному развитию. Понимание принципов работы локальных сетей и основных сетевых сервисов. Знания принципов работы баз...
47,https://hh.ru/vacancy/38523358?query=Data%20science, SkillFactory,Москва,,0,0,Хэдхантер,"Product Manager (в линейки программирования, аналитики, Data Science)","Запускать новые курсы по одной из линеек (программирование, аналитика, Data Science) и растить прибыль направления. Работать с командой маркетинга и...","Опыт разработки с нуля, запуска и развития 1-2 продуктов. Отличный навык проведения пользовательских интервью, отличное знание unit-экономики, продуктовых..."
48,https://hh.ru/vacancy/38569495?query=Data%20science, Яндекс,Москва,,0,0,Хэдхантер,"Наставник в Практикум на программу обучения ""Data Science""","Проводить для студентов групповые онлайн-консультации по выходным, в том числе — с разбором студенческих проектов.","Работали с Python от 2 лет (и более) и с программными библиотеками Pandas, NumPy, Matplotlib и Sklearn. Работали над коммерческими..."
49,https://hh.ru/vacancy/38438518?query=Data%20science,"ООО «РУСАГРО», Мясное бизнес-направление",Тамбов,,0,0,Хэдхантер,Специалист по аналитическим системам и данным (Data Science),"Осуществляет сбор требований, проектирование, разработка, сопровождение информационно-аналитических систем и данных. Осуществляет создание и развитие аналитической модели данных. ",Опыт работы и построения хранилищ данных. Знание инструментов Big Data. Знание OLAP технологии. Навыки проектирования и создания OLAP-кубов. 
50,https://hh.ru/vacancy/38222140?query=Data%20science, ГК «ВИЗАВИ Консалт»,Москва,Рублей,120000,150000,Хэдхантер,"Data scientist /аналитик данных (медицина, наука, образование, социология)","Сбор первичных данных о научной деятельности университетов, учебной деятельности, управленческой (университет как предприятие, бизнес-показатели и хозяйственные показатели деятельности и...","Владение навыками статистической обработки и анализа данных эксперимента, постановка эксперимента, предпочтительно в социальных науках. Обработка данных научных экспериментов с последующей..."
51,https://hh.ru/vacancy/38996152?query=Data%20science,АО Россельхозбанк,"Москва, Международная",,0,0,Хэдхантер,Старший/ведущий/главный специалист (Data science specialist) Отдела разработки моделей кред. рисков,Разработка: Моделей оценки кредитных рисков на основе внешних и внутренних данных (корпоративный сегмент). Моделей оценки вероятности дефолта по банковским гарантиям. ,"Высшее математическое/физическое/техническое/финансово-экономическое образование. Знание Python и умение обрабатывать данные. Знание основ sql, pandas, numpy, regex, json. "
52,https://www.superjob.ru/vakansii/data-scientist-34345797.html,КИБЕРБОРЕЯ, Москва,Рублей,120000,150000,Superjob,Data Scientist,"Обработка и аналитика входных данных, их дальнейшая визуализация. Обработка разовых запросов. Разработка методик расчета",R или Python. Опыт работы по анализу данных. Знание и понимание алгоритмов машинного обучения. Знание и понимание математического
53,https://www.superjob.ru/vakansii/data-scientist-33947478.html,Prequel, Москва,,0,0,Superjob,Data Scientist,"Средняя оценка в AppStore — 4.8. Depth map prediction. Super resolution ect. Swift на уровне собрать сэмпл, протестировать","Наша миссия — вдохновить людей рассказать свою историю через фото и видео, а наше приложение — помогает им легко и быстро"
54,https://www.superjob.ru/vakansii/programmist-34308964.html,7ЦВЕТОВ и 7ЦВЕТОВ Декор," Москва, Молодежная",Рублей,130000,0,Superjob,Программист / Разработчик 1С,"Разработка нового функционала в системе по заданию руководителя проектов (качественно описанный функционал и архитектура,",Что бы мы хотели видеть в разработчике 1С. Опыт разработки на платформе 1С Предприятие 8.3 не менее года. Умение читать чужой код
55,https://www.superjob.ru/vakansii/data-scientist-33947500.html,Prequel, Калининград,,0,0,Superjob,Data Scientist,"Средняя оценка в AppStore — 4.8. Depth map prediction. Super resolution ect. Swift на уровне собрать сэмпл, протестировать","Наша миссия — вдохновить людей рассказать свою историю через фото и видео, а наше приложение — помогает им легко и быстро"
56,https://www.superjob.ru/vakansii/programmist-1s-34380213.html,7ЦВЕТОВ и 7ЦВЕТОВ Декор, Москва,Рублей,130000,0,Superjob,Программист 1С,"Разработка нового функционала в системе по заданию руководителя проектов (качественно описанный функционал и архитектура,",Что бы мы хотели видеть в разработчике 1С. Опыт разработки на платформе 1С Предприятие 8.3 не менее года. Умение читать чужой код
