#number,link,employer,employer_adress,salary_currency,salary_start,salary_finish,site_name,vacancy_title,vacancy_responsibility,vacancy_requirement
1,https://hh.ru/vacancy/38438420?query=Data%20science,ООО Лаборатория Наносемантика,Москва,Рублей,150000,0,Хэдхантер,Data Science / ASR разработчик (Middle),"Глубокий r’n’d современных систем распознавания речи (включая end-2-end и attention-based подходы, а также обучение без...","Обязательные: Бонусом будет: Аккуратное оформление кода. Умение самостоятельно заниматься поиском информации и реализовывать описанные в статьях алгоритмы, архитектуры и т. "
2,https://hh.ru/vacancy/38899746?query=Data%20science,ООО Mind&Machine,Москва,Рублей,70000,110000,Хэдхантер,Бизнес-аналитик с базовыми знаниями Data Science,"анализ бизнес-процессов клиентов. — прогнозирование временных рядов: потока клиентов, объема операций. — анализ и демонстрация эффективности работы алгоритмов оптимизации клиенту.","Ключевые навыки:‍‍. — Умение общаться с клиентами и понимать их бизнес-процессы. — Базовые знание Python, в том числе numpy, scipy, pandas. — "
3,https://hh.ru/vacancy/38798824?query=Data%20science, Dostavista Global,Москва,Рублей,300000,0,Хэдхантер,Global Head of Data Science & Analytics,"Evolving, but present and all encompassing vision of data science and analytics department. Data informed culture across all teams. ","Proven track record of successful Data Science or analytical team management, including experience mentoring teams and managers to high performance. "
4,https://hh.ru/vacancy/38507504?query=Data%20science, Медia Партнерство Баінг,Киев,,0,0,Хэдхантер,Бізнес-аналітик для data science,Налагодження та управління процесом збору даних. Опис фізичного змісту даних для data scientist’ів. Участь у розробці аналітичних звітів та...,"Досвід роботи, пов’язаний з планування рекламних кампаній, або досвід в маркетингу з використанням аналізу даних. Знання та досвід роботи..."
5,https://hh.ru/vacancy/38801205?query=Data%20science, Align Technology,"Москва, Тульская",,0,0,Хэдхантер,"Intern, Data Science",Анализ существующих датасетов на выявление закономерностей с целью улучшения существующего flow of data processing & feature engineering. Принимать участие во всех...,"Знание методов статистического анализа: аппарат проверки гипотез, регрессии, деревья решений, методы кластеризации. Знание SQL. Английский – intermediate+. Базовое знание инструментов статистического..."
6,https://hh.ru/vacancy/38922032?query=Data%20science,ООО Autodoc,Одесса,,0,0,Хэдхантер,Data Science Team Lead,"отслеживание трендов и новых технологий в Big Data, внедрение их в работу. ● управление знаниями: создание и поддержка документации / FAQ по...",Будет преимуществом: ● дополнительное образование в области data analysis / data science / machine learning. ● практический опыт использования современного стека Data-технологий (Clickhouse...
7,https://hh.ru/vacancy/38855699?query=Data%20science, Яндекс,Москва,,0,0,Хэдхантер,Educational Content Creator in Data Analysis & Data Science at Practicum,"Write and rewrite content for the Data Analyst and Data Scientist programs. Review existing lessons for coherence, clarity, and flow. ","Have professional experience as a data scientist, especially on the analytics side. Know Python and SQL. (Bonus points if you..."
8,https://hh.ru/vacancy/38671965?query=Data%20science, АЛЬФА-БАНК,"Минск, Академия наук",,0,0,Хэдхантер,Lead Data Science,"Формирование требований к инфраструктуре данных, необходимой для реализации проектов и в целом для развития направления Data Science. Организация работы отдела...",...и структур данных. Хорошие организаторские навыки и лидерские качества. Стремление к новым знаниям и желание развиваться в области Data science.
9,https://hh.ru/vacancy/38267837?query=Data%20science," «РОСБАНК, Societe Generale Group», с опытом работы","Москва, Комсомольская и еще 2 ",,0,0,Хэдхантер,Team Lead/Data Science,Презентация финального отчета по итогам анализа заказчику. Контроль и мониторинг результатов на этапе имплементации. Продвижение и развитие Data Driven-культуры...,"Высшее техническое образование. Знание SQL. Знание структуры данных, принципов OOP, модульного программирования. Знание Теории вероятности и математической статистики. "
10,https://hh.ru/vacancy/38895525?query=Data%20science, NVIDIA,"Москва, Марьина Роща и еще 1 ",,0,0,Хэдхантер,Senior Data Science Engineer,"Data science projects involve various types of tasks, ranging from network packets analysis to personalized recommendations, from fraud detection in...","Experience with extracting data from storage systems (e.g. Hive, Cassandra, S3) and understanding of how big data processing..."
